S,T,W
Copenhagen,Budapest,85.84531863905433
Paris,Helsinki,35.44380311552285
Budapest,Helsinki,69.52698895361078
Rome,Vienna,77.79544402929339
Paris,Vienna,69.1995430397201
Helsinki,Vienna,65.3725214236504
Copenhagen,Rome,74.87705437774022
Rome,Helsinki,53.83245360700569
Helsinki,Rome,54.74560323609234
Copenhagen,Vienna,83.26066593870016
Vienna,Copenhagen,60.3375099355777
Vienna,Rome,72.57279299804917
Berlin,Copenhagen,64.72414945874274
Vienna,Paris,51.44698105425605
Budapest,Berlin,65.29231200972177
Helsinki,Paris,46.73271831995142
Vienna,Helsinki,61.460896781851694
Budapest,Paris,54.14386706991227
Copenhagen,Helsinki,69.37869168572354
Berlin,Helsinki,62.058177833261226
Rome,Copenhagen,60.10333293420014
Berlin,Vienna,79.60466367876815
Paris,Copenhagen,53.98463205292799
Copenhagen,Berlin,76.0620886679602
Rome,Budapest,83.36521090775504
Budapest,Rome,74.77456586648444
Budapest,Copenhagen,62.51566759593081
Budapest,Vienna,76.22059926840384
Vienna,Berlin,62.798582663217
Helsinki,Berlin,65.4629290521498
Rome,Berlin,60.91048199054282
Helsinki,Copenhagen,66.95192822806551
Paris,Budapest,68.52142291606941
Copenhagen,Paris,58.287701257310495
Helsinki,Budapest,66.54680768014833
Berlin,Budapest,82.14924555576856
Rome,Paris,64.59720979599214
Berlin,Paris,53.101065966155424
Paris,Berlin,61.000087514999045
Paris,Rome,73.59015663894162
Vienna,Budapest,78.36455541024479
Berlin,Rome,76.15664836165301
