S,T,W
Copenhagen,Budapest,90.80702972968265
Paris,Helsinki,61.871202439578525
Budapest,Helsinki,116.89565625703815
Rome,Vienna,97.19302611457641
Paris,Vienna,78.17207328307161
Helsinki,Vienna,84.7115103491542
Copenhagen,Rome,112.98850515318213
Rome,Helsinki,104.98858980726678
Helsinki,Rome,98.21773858161889
Copenhagen,Vienna,91.33856291638666
Vienna,Copenhagen,95.44265376438061
Vienna,Rome,95.60903907860205
Berlin,Copenhagen,80.70833363761139
Vienna,Paris,102.4818935539978
Budapest,Berlin,106.9524791967707
Helsinki,Paris,101.62085662310088
Vienna,Helsinki,93.08823002993141
Budapest,Paris,122.87452219487741
Copenhagen,Helsinki,72.50388192759554
Berlin,Helsinki,70.1780944705618
Rome,Copenhagen,126.13099162900268
Berlin,Vienna,78.82184630417872
Paris,Copenhagen,78.19215379887113
Copenhagen,Berlin,94.59569753625262
Rome,Budapest,97.84910311881326
Budapest,Rome,113.49236142950338
Budapest,Copenhagen,119.0859116636267
Budapest,Vienna,99.83637017025698
Vienna,Berlin,86.01447988665213
Helsinki,Berlin,85.83906798435702
Rome,Berlin,113.26649829256685
Helsinki,Copenhagen,90.07196640664338
Paris,Budapest,76.30544163081716
Copenhagen,Paris,120.99777138753583
Helsinki,Budapest,78.19349070074645
Berlin,Budapest,83.82721090358075
Rome,Paris,133.85560704879938
Berlin,Paris,96.12475895747764
Paris,Berlin,75.82295213211955
Paris,Rome,102.53302381103619
Vienna,Budapest,91.93455417943511
Berlin,Rome,100.24407603456915
